"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"CWT23289","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706227003,NA
"CWT23313","MOH","otolith_cwt",2009,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7072362405,NA
"CWT23322","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707254161,NA
"CWT23352","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.7057004045,NA
"CWT24041","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7087182905,NA
"CWT24046","MEH","otolith_cwt",2009,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7087433875,NA
"CWT24125","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.707018627,NA
"CWT24151","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708544214,NA
"CWT24170","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708549239,NA
"CWT24171","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.70847568,NA
"CWT24181","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708458739,NA
"CWT24186","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708537433,NA
"CWT24187","MEH","otolith_cwt",2010,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708627499,NA
"CWT24188","CNH","otolith_cwt",2010,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706841449,NA
"CWT24978","CNH","otolith_cwt",2009,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706717186,NA
"FEA031115-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.707256176377768,NA
"FEA031415-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706417290053921,NA
"FEA031415-3","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706247527394923,NA
"FEA031415-4","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706308023473087,NA
"FEA041015-1","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706663862,NA
"FEA041015-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706527969,NA
"FEA042115-1","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706318397,NA
"FEA042115-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706387783,NA
"FEA042115-3","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706235055,NA
"FEA042915-1B","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.70645850220291,NA
"FEA042915-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706729167393979,NA
"FEA050715-2","FEA","otolith_juvenile",2015,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706091747490564,NA
"FEA050814-1","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706044992,NA
"FEA050814-2","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706356057,NA
"FEA050814-3","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706258966716137,NA
"FEA050814-5","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.707065968686775,NA
"FEA050814-6","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706916509287597,NA
"FEA050814-7","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706358591088128,NA
"FEA050914-1","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.7060195,NA
"FEA052014-1","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706400689,NA
"FEA052014-2","FEA","otolith_juvenile",2014,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706239963,NA
"FEA16001","FEA","otolith_juvenile",2016,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706168859081294,NA
"FEA16002","FEA","otolith_juvenile",2016,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706202449002817,NA
